State,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
California,   Durable goods manufacturing,Millions of current dollars,106009.4,110077.3,122393.2,143240.3,112971.5,106393.9,112193.2,112767,124371.9,128697,133754.7,133198.5,130023.9,131671.1,137986.7,141529.2,148766,154964.1,166442.9,174019.7,191869.1,205334.9,209453.3
California,    Wood product manufacturing,Millions of current dollars,2070.9,1956.7,2150.7,1995,1887.5,2019.5,2144.6,2240.1,2404.7,2129,1906.7,1669,1307.8,1417.8,1479.3,1415.4,1751.8,1836,1864.6,2095.1,2368.1,2452.9,2563.7
California,    Nonmetallic mineral product manufacturing,Millions of current dollars,3174.1,3326,3564.2,3512,3629.8,3758.3,3742.2,4298.5,4566.5,4508.9,4349.5,3803.6,3171,3064.3,2919.3,3221.4,3412.9,3709.5,3987.2,4299.7,4779.8,4983.9,5386.6
California,    Primary metal manufacturing,Millions of current dollars,2127.3,2303.2,2350.8,2584.4,2051.3,1976.5,2076.7,2548.7,2692.4,2920,2001.3,2505.4,1669.6,1681.9,2125.9,2175.7,2005.4,1908,1818,1824.8,2080.1,2336.4,2325.2
California,    Fabricated metal product manufacturing,Millions of current dollars,10426.9,10198.8,10910.7,12008.6,10997.4,9608.5,9787,10212.2,11107,11294.3,12457.4,11952.7,10814.9,10653.7,11399.3,11822.6,12131.8,12955.8,13496.1,13540.3,13796.5,14169.8,14625.6
California,    Machinery manufacturing,Millions of current dollars,8346.5,8604.4,10614.4,14049.3,9926.8,8442.7,8475.8,9428.5,8717.4,9614.6,10377,9766.7,8738.6,8963,10525.7,9969.1,12006.4,11478.6,11901.9,12602.4,12921.9,13062.9,14163.6
California,    Computer and electronic product manufacturing,Millions of current dollars,54316.8,54544.8,61887.6,80650.5,53469.2,49728.7,53165.9,52201.4,60349.6,60973.1,64493.7,65275.5,64702.4,68399.4,70635.9,77309.9,79395.5,84434.7,91541.8,95788.4,109223,117589.5,119540.8
California,"    Electrical equipment, appliance, and component manufacturing",Millions of current dollars,2968.2,2654.4,3345.1,3886.2,3319.7,3310.4,3012.9,2946.5,3036.4,3449.6,3548.7,3898.1,3288,3498.4,3386.4,3181.7,3765.6,3595.5,4499.7,4329.5,4376.9,5367.2,5570
California,"    Motor vehicles, bodies and trailers, and parts manufacturing",Millions of current dollars,3070.6,3229.6,3625.4,3752.2,4511.8,4804.3,4936.3,4677.2,4403.8,4812.3,4310.2,3507.2,2613.1,2431.9,2878.8,2171.8,2316.3,2946.4,4196.1,5049.7,6701.5,7275.1,7408.5
California,    Other transportation equipment manufacturing,Millions of current dollars,9027.5,10787.8,10670.7,6362.4,10021.8,9417.8,11043.7,10533.1,12543.5,12960.7,14905.2,15665.9,17324.7,15147.8,17005.5,13376.6,14802.4,15308.4,17388.6,17982.4,18464.3,20057.5,18630.2
California,    Furniture and related product manufacturing,Millions of current dollars,2857.2,3038,3471.1,3569.2,3448.2,3340.6,3191.3,3156.7,3450.6,3633.1,3274.2,2758.9,2094.3,2002.5,1927.9,1886.4,2137.3,2244.8,2553.5,2607.6,2914.6,2881.4,3129.3
California,    Miscellaneous manufacturing,Millions of current dollars,7623.4,9433.5,9802.3,10870.5,9707.8,9986.6,10616.8,10524.1,11100,12401.4,12130.8,12395.5,14299.4,14410.3,13702.7,14998.6,15040.6,14546.5,13195.5,13899.8,14242.4,15158.4,16109.8
California,   Nondurable goods manufacturing,Millions of current dollars,50075.5,53180,56644.2,62606.3,64801.1,55928.7,64723.5,71113.2,84253.9,94048.4,99965.8,116886.3,102563.3,95937,88298.2,96438.6,102503.8,109997.1,113601,111522.3,123066.5,138224.1,147051.5
California,    Food and beverage and tobacco product manufacturing,Millions of current dollars,12155.8,12706.6,15167.1,15272.1,16438.4,17408.9,17510.9,16735.3,17291.2,19788.5,20428.1,20919.5,25153.1,21779.2,20765.4,22937.4,23547.4,25607.6,29394.7,28827.8,28701.9,27474.1,28892.4
California,    Textile mills and textile product mills,Millions of current dollars,1256,1343.9,1547.9,1635.6,1401.6,1346,1084.6,1356.7,1202.3,1247.7,1137.3,1122.9,946.3,885.2,811.5,897.4,1093.3,1113,1198.9,1165.4,1052.8,1080.1,1069.8
California,"    Apparel, leather, and allied product manufacturing",Millions of current dollars,4012.6,4170.3,4484.8,4502,4054,3827.5,3522.2,3471.9,3431.2,3701.1,3572,3271.6,2893.5,3215.1,3250.9,3406.6,3642.9,3273.2,3134.3,3300,3121.6,3072.6,3292.5
California,    Paper manufacturing,Millions of current dollars,2607.7,2643.6,2954.8,3030,2496.7,2603.3,2268.3,2348,2244.4,3054.8,2857,2548.5,3083,2882,2873.8,2432.7,2585.3,2537.1,2896.6,2892.1,2912.2,2910.9,2942.8
California,    Printing and related support activities,Millions of current dollars,3915.3,4218.4,4584,4676.1,4446.6,4339.5,4280.9,4244.1,4220.6,4340.9,4613.3,3984.6,3518.6,3585.9,3458,3264.7,3494.8,3421.5,3516.2,3568.7,3527.3,3625.3,3635.4
California,    Petroleum and coal products manufacturing,Millions of current dollars,11401.2,12074.5,10517.3,13162,15093.4,9360.5,14025.9,16496.5,29501.9,32857.7,35850.8,55020,29753.1,26276.3,21567.2,20101.8,16956,22749,19800.2,11282.6,17979.6,32815.4,30327.9
California,    Chemical manufacturing,Millions of current dollars,10578.5,11508.1,12517.9,15697.4,16666.5,12789.4,17663.7,21832.8,21938.7,24404.9,26936.5,25844,32968.8,33084.6,31483.5,39033.4,46917.4,47176.5,48710.2,55719.3,61237.9,62351.1,72086.3
California,    Plastics and rubber products manufacturing,Millions of current dollars,4148.5,4514.6,4870.6,4631.2,4203.9,4253.6,4367,4628,4423.8,4652.9,4571,4175.3,4246.7,4228.8,4087.9,4364.7,4266.6,4119.2,4949.9,4766.3,4533,4894.7,4804.5
California,  Wholesale trade,Millions of current dollars,63184.3,68103.1,70462.1,75659.1,76110.5,76295.1,79943.4,84723.6,93261.8,101911.3,108348.9,109304.1,99363.2,106775.5,117675.4,120399,128182.2,139142.1,152151,147933.1,154266.9,159656.6,169713.6
California,  Retail trade,Millions of current dollars,76994.2,83690,88839.6,95808.2,98986.9,102979.8,108587,115006.1,121203.1,126441.6,123311,115337.2,109475.8,113936.5,116389.6,122471,129807.1,132945.5,139281.8,140680.6,144744.2,148408.2,157969.5
California,  Transportation and warehousing,Millions of current dollars,29147.6,30730.4,31291.7,33859.4,33775.6,33794.4,34840.7,38873.8,40429.8,46044.8,45664.3,45827.8,43181.2,46545.7,48073.3,48540.1,51588.4,55295.7,61131.4,67277.2,71855,79010.8,89727
