State,Year,Population
Wisconsin,2010,5.689655172
Wisconsin,2011,5.709302326
Wisconsin,2012,5.716981132
Wisconsin,2013,5.723163842
Wisconsin,2014,5.75
Wisconsin,2015,5.774566474
Wisconsin,2016,5.759036145
Wisconsin,2017,5.8
Wisconsin,2018,5.816091954
Wisconsin,2019,5.81595092
Wyoming,1997,0.489238411
Wyoming,1998,0.491174213
Wyoming,1999,0.49201479
Wyoming,2000,0.494201883
Wyoming,2001,0.49495028
Wyoming,2002,0.5
Wyoming,2003,0.503120125
Wyoming,2004,0.508688784
Wyoming,2005,0.513709677
Wyoming,2006,0.523114355
Wyoming,2007,0.534827862
Wyoming,2008,0.545897644
Wyoming,2009,0.560314685
Wyoming,2010,0.565030146
Wyoming,2011,0.567282322
Wyoming,2012,0.576490925
Wyoming,2013,0.582417582
Wyoming,2014,0.582670203
Wyoming,2015,0.585923218
Wyoming,2016,0.58548233
Wyoming,2017,0.579870729
Wyoming,2018,0.578422484
Wyoming,2019,0.579980373
