state_name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020_census
Alabama,33.30063944012015,33.589288745225694,33.76820979484795,33.943787506384794,34.05854417516066,34.121323730092776,34.38014057223014,34.58646510280473,34.840503571673615,35.286545265340656,35.64957556167141,36.02491197749503,36.24252505508077,36.46685244451899,36.565218653513355,36.65324756996592,36.893501078744535,36.94299656174002,36.94054672907884,37.14079233977022,37.126767021674,37.256379245412475,37.51817319376997,38.301306182649355
Alaska,0.4148272901776985,0.4192805495167979,0.4228575238860776,0.42513707337107476,0.4289944781735279,0.43380347074636333,0.43846878351341345,0.4459265538214003,0.45139110039358493,0.45643628856939295,0.46055954282713996,0.46494744758459844,0.47350110795133543,0.4827362832241621,0.4883713372482075,0.4948148763864615,0.4990193294374043,0.4986332596503407,0.49855584379205564,0.5021960928392174,0.5011386295775305,0.4987841203340025,0.49695448705067075,0.5019324398935904
Arizona,16.13946769111544,16.60514643771222,17.075310961329947,17.53130293636793,17.922744982274384,18.300537855999348,18.756496898442254,19.22787949980796,19.803564514100614,20.454863657220937,20.967124164278893,21.39472727705323,21.565070154687007,21.819177786388497,21.991994327123418,22.23297164921297,22.501164146332343,22.8082432708943,23.23035269045264,23.585201229066612,24.031761650810484,24.41548333996132,24.756258576444477,24.285808053312948
Arkansas,19.31813393831017,19.517810085255732,19.68102403336029,19.868257822528587,19.977398527873206,20.093080870513685,20.242264099843435,20.429498668111094,20.584499246870617,20.944619191072263,21.190433075364876,21.361596834630596,21.524982347834477,21.701840611110697,21.87116110290789,21.961856994457264,22.003012257829948,22.036102618515855,22.14755759770277,22.152962603230666,22.25998174681497,22.35470507008184,22.4670513463579,22.355298669106833
California,80.17682741544517,81.70115043151097,83.0203360134435,84.22573951708446,85.46915928479723,86.61313357259348,87.59008848329228,88.46076023754169,88.59016440046993,89.63242592932242,89.89672059107829,90.64314854287598,91.77972865123704,92.06682429250546,93.33956432512281,93.94143226442874,95.24612093708019,95.12022767717727,96.77257672269782,97.32335976265658,97.0982045079387,97.67017148904739,97.561225382064407,97.95404615461837
Colorado,14.999962843337766,15.371979350373095,15.744699926610563,16.119312139805015,16.4866271853847,16.727561563306775,16.866022121141,17.074530635433312,17.223004816880312,17.55458617670835,17.870892143604873,18.233633082617132,18.4880507728243,18.803224743043838,19.038401816481702,19.30409744776125,19.60599611445772,19.983391821361916,20.36674552492074,20.58257056748289,20.937422149453678,21.24393846463337,21.48520698801554,21.50587454005614
Connecticut,267.6720504704194,267.3370416201563,269.9482370435337,272.34907311433585,273.6305600382714,274.93827635145914,278.7382362462127,278.439443469941,280.01913570403445,281.1243875777388,280.4611593047361,283.5754882793813,284.1936243023441,284.53416129803855,284.7575004783926,287.8748457981183,287.3677776271727,287.69314487322595,286.561904480944,286.19627523520967,284.5177047520332,283.9981471854569,283.3198898102376,287.53006768365907
Delaware,148.6031305726174,151.4069631464236,153.56593203883497,155.93291103625916,157.799906280959,159.91808975629087,162.02377451951654,164.4541311670299,167.35886546463246,169.83214919754312,172.8648662571825,175.4004164850406,175.9579356053101,179.0069894987121,180.00727798692293,181.93758549633444,182.49507271646522,184.74983792351892,186.0886049138102,187.70921755498316,189.88177788785416,191.30517951258173,193.86115831186845,196.13975343534148
Florida,109.66302987320628,111.28741955690597,113.49783989862263,115.53982640563912,117.7868534852074,119.76990474270451,122.4016646626394,125.07737671632333,128.22092190053783,130.45771828896875,132.01893834556148,133.11808945401657,134.82183357693665,135.97107994268723,137.15596369710627,138.51035834887355,140.8984679631643,143.38656540928957,146.09429457040616,148.28477532094436,150.57046879837566,152.8441839769021,154.30668572292583,154.98129336406706
Georgia,51.69865796628603,52.90447045831404,54.01470881920528,55.24925589591767,56.23962039890171,57.06268167750858,57.80859908431179,58.84169469451326,59.90290565189079,61.39273222833128,62.92830492954437,63.665280271752636,64.7491619438906,65.34236489906618,65.89699796588323,66.47532476721781,67.08562082855015,67.634919205956,68.40010465967146,69.33835102276466,69.99557321142059,70.56378674668868,71.59058868547721,71.66050834173106
Hawaii,72.99583492636009,72.99583492636009,72.71371451758341,72.85391175232944,73.68219567177637,74.32303192064924,75.14277126540426,76.85056152690112,77.67567363991584,78.79377595431319,79.27149498046288,80.0140957619477,80.72480571085062,81.75533513675984,83.11093092876465,84.15990381725278,84.49620715359183,85.37961256387135,85.63032353471596,85.63032353471596,85.75734457469191,85.33696543432521,84.9890654042681,87.49068529222122
Idaho,5.756466429956317,5.839893480342918,5.9598912938868,6.071942227101778,6.168511214931439,6.257028727604009,6.390826826134692,6.491067443761826,6.65011293419608,6.834838295685486,7.051130645425028,7.169770211871336,7.246235174846411,7.393418542829778,7.4010531243430115,7.4561872316568945,7.509993861103974,7.620210521152095,7.7150886355672865,7.843673447172323,8.01511985797379,8.143704669578826,8.38441849611063,8.610071853559282
Illinois,84.8065941318423,85.29995702155182,85.95704790914716,86.47952869750266,86.82830367264053,86.93051817543274,87.45966048416821,87.50085595265416,87.6116232361798,87.95323012942215,88.37936012184181,88.65082736989979,88.76680325189682,89.1467687578672,89.67365894028221,89.58956931144075,89.75455933181726,89.46284193250018,89.67138629835945,89.07695075560007,88.98229440932451,88.74200440911588,87.85921686034787,89.11231317495435
