state_name,year,population,land_area_sqkm,pop_density
Idaho,2005,1423423.423,214045,6.65011293419608
Idaho,2006,1462962.963,214045,6.834838295685486
Idaho,2007,1509259.259,214045,7.051130645425028
Idaho,2008,1534653.465,214045,7.169770211871336
Idaho,2009,1551020.408,214045,7.246235174846411
Idaho,2010,1582524.2719999999,214045,7.393418542829778
Idaho,2011,1584158.416,214045,7.4010531243430115
Idaho,2012,1595959.596,214045,7.4561872316568945
Idaho,2013,1607476.636,214045,7.509993861103974
Idaho,2014,1631067.9610000001,214045,7.620210521152095
Idaho,2015,1651376.1469999999,214045,7.7150886355672865
Idaho,2016,1678899.0829999999,214045,7.843673447172323
Idaho,2017,1715596.3299999998,214045,8.01511985797379
Idaho,2018,1743119.2659999998,214045,8.143704669578826
Idaho,2019,1794642.8569999998,214045,8.38441849611063
Illinois,1997,12194594.59,143793,84.8065941318423
Illinois,1998,12265536.72,143793,85.29995702155182
Illinois,1999,12360021.79,143793,85.95704790914716
Illinois,2000,12435150.87,143793,86.47952869750266
Illinois,2001,12485302.27,143793,86.82830367264053
Illinois,2002,12500000,143793,86.93051817543274
Illinois,2003,12576086.959999999,143793,87.45966048416821
Illinois,2004,12582010.58,143793,87.50085595265416
Illinois,2005,12597938.14,143793,87.6116232361798
Illinois,2006,12647058.82,143793,87.95323012942215
Illinois,2007,12708333.33,143793,88.37936012184181
Illinois,2008,12747368.42,143793,88.65082736989979
Illinois,2009,12764044.94,143793,88.76680325189682
Illinois,2010,12818681.32,143793,89.1467687578672
Illinois,2011,12894444.44,143793,89.67365894028221
Illinois,2012,12882352.940000001,143793,89.58956931144075
Illinois,2013,12906077.35,143793,89.75455933181726
Illinois,2014,12864130.43,143793,89.46284193250018
Illinois,2015,12894117.65,143793,89.67138629835945
Illinois,2016,12808641.98,143793,89.07695075560007
Illinois,2017,12795031.059999999,143793,88.98229440932451
Illinois,2018,12760479.04,143793,88.74200440911588
Illinois,2019,12633540.370000001,143793,87.85921686034787
Indiana,1997,5956284.153,92789,64.1917054068909
Indiana,1998,6002732.24,92789,64.69228292146698
Indiana,1999,6045648.692000001,92789,65.1547995128733
Indiana,2000,6091486.658,92789,65.6488016683012
Indiana,2001,6128525.812,92789,66.04797779909256
Indiana,2002,6155672.823,92789,66.34054492450613
Indiana,2003,6193798.45,92789,66.75143012641585
Indiana,2004,6236363.636,92789,67.21016107512744
Indiana,2005,6278947.368,92789,67.66909189666879
Indiana,2006,6328877.005,92789,68.2071905613812
Indiana,2007,6378378.378,92789,68.74067376520924
