state_name,year,percentage_manufacturing
Alabama,y1997,0.18702742722916008
Alabama,y1998,0.18661307298660762
Alabama,y1999,0.18552629190327463
Alabama,y2000,0.1810078622163891
Alabama,y2001,0.1723924159280156
Alabama,y2002,0.16666640523901022
Alabama,y2003,0.1620907831827337
Alabama,y2004,0.17878728797036458
Alabama,y2005,0.17629879859084352
Alabama,y2006,0.17732670947744025
Alabama,y2007,0.1680362271585753
Alabama,y2008,0.1663445566656716
Alabama,y2009,0.14766142341729904
Alabama,y2010,0.15507206802625909
Alabama,y2011,0.17073064639080976
Alabama,y2012,0.1694027070656898
Alabama,y2013,0.17319953241208727
Alabama,y2014,0.16895306091124476
Alabama,y2015,0.16568118972745297
Alabama,y2016,0.16619841788816428
Alabama,y2017,0.16805657646549588
Alabama,y2018,0.16989701709775945
Alabama,y2019,0.16233857243833374
Alabama,y2020,0.15748898726952595
Alabama,y2021,0.16213523275696348
Alaska,y1997,0.03370682040076247
Alaska,y1998,0.04618305644412342
Alaska,y1999,0.03573752338922499
Alaska,y2000,0.03095879372990234
Alaska,y2001,0.033273554876272635
Alaska,y2002,0.030890418324551028
Alaska,y2003,0.03439364003258641
Alaska,y2004,0.034603879622915154
Alaska,y2005,0.031335642744928956
Alaska,y2006,0.031015143888003086
Alaska,y2007,0.03123808832338047
Alaska,y2008,0.02684384779355073
Alaska,y2009,0.029080543979118374
Alaska,y2010,0.020770050026625866
Alaska,y2011,0.01704680269191494
Alaska,y2012,0.017020225243464714
Alaska,y2013,0.02314503464768017
Alaska,y2014,0.028280124422633307
Alaska,y2015,0.03561017577863273
Alaska,y2016,0.030957445340514162
Alaska,y2017,0.034317649695889754
Alaska,y2018,0.025957884693767516
Alaska,y2019,0.02729567658042316
Alaska,y2020,0.026872741870734643
Alaska,y2021,NA
Arizona,y1997,0.1621827775719869
Arizona,y1998,0.15502789202708117
Arizona,y1999,0.15365334709847084
Arizona,y2000,0.13919933717197006
Arizona,y2001,0.12929993438411816
Arizona,y2002,0.12372488052722572
Arizona,y2003,0.13246320782049104
Arizona,y2004,0.10426496227627334
Arizona,y2005,0.09031620874190875
Arizona,y2006,0.09187622226649374
Arizona,y2007,0.09403233457795189
Arizona,y2008,0.08951035652617086
Arizona,y2009,0.08409560258464771
Arizona,y2010,0.08843493806564126
Arizona,y2011,0.08938365916654305
Arizona,y2012,0.09027851458885942
Arizona,y2013,0.07978129993869162
Arizona,y2014,0.08367325229971086
Arizona,y2015,0.08623840279658898
Arizona,y2016,0.08460770904946764
Arizona,y2017,0.08671611340972793
Arizona,y2018,0.08981688017547494
Arizona,y2019,0.09001503291186043
Arizona,y2020,0.08580698332169358
Arizona,y2021,0.08510651233803787
Arkansas,y1997,0.22376320674795266
Arkansas,y1998,0.21597616540618336
Arkansas,y1999,0.2195945895379973
Arkansas,y2000,0.21188872791339358
Arkansas,y2001,0.19633174589013647
Arkansas,y2002,0.1982799447876849
Arkansas,y2003,0.19146045941869314
Arkansas,y2004,0.1910419767228954
Arkansas,y2005,0.18539362311952004
Arkansas,y2006,0.18589081002262317
Arkansas,y2007,0.1650603364856843
Arkansas,y2008,0.15416902357712814
Arkansas,y2009,0.14140979057124484
Arkansas,y2010,0.14769353559340404
Arkansas,y2011,0.1482460212483726
Arkansas,y2012,0.14057336893654007
Arkansas,y2013,0.1477285071709738
Arkansas,y2014,0.15206725710654612
Arkansas,y2015,0.14979522323384284
Arkansas,y2016,0.14731637801672479
Arkansas,y2017,0.14587879709228102
Arkansas,y2018,0.15018793227368596
Arkansas,y2019,0.15034786789045237
Arkansas,y2020,0.1453774243656057
Arkansas,y2021,0.14751005566417197
California,y1997,0.14572161584588797
California,y1998,0.14226954048050042
California,y1999,0.14416413821502655
California,y2000,0.15169515969117792
California,y2001,0.12921761936463833
California,y2002,0.1144382491735931
California,y2003,0.1181083459335944
California,y2004,0.1157806426410551
California,y2005,0.12282506998279248
California,y2006,0.12291367998190054
California,y2007,0.12308197052823158
California,y2008,0.12859844933033981
California,y2009,0.12305115651488582
California,y2010,0.11647768808511491
California,y2011,0.11182846553002224
California,y2012,0.11261568568286805
California,y2013,0.11316471940356061
