state_name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mideast,1.3776603533109433e-4,1.2680659718817392e-4,1.286052271891543e-4,1.7348805812510354e-4,1.4218652016697174e-4,1.4537015796923012e-4,1.9064812123337566e-4,2.2694435477587185e-4,2.935715450277632e-4,2.805599027832937e-4,3.382759225663162e-4,6.278290734310318e-4,6.858474274140767e-4,0.0010764382974182479,0.0016033358653999052,0.0019085183684269345,0.001876464818205174,0.0027257488484900166,0.0015861623246823848,0.0014361566789206728,0.0016459147522437567,0.001569652503117534,0.0013554642931533508
Minnesota,3.837509609763648e-6,3.5948636588043007e-6,3.9827195488375294e-06,2.610761559146803e-6,2.0407528133053e-6,1.963539043501226e-6,1.8542400443534221e-6,2.5944027490291526e-6,2.4451820743702126e-6,3.170879907283472e-6,1.2210799612765017e-5,1.6453481893317124e-5,1.0607087900326951e-4,1.3966312379367344e-4,3.090169185891967e-4,2.3531123262526555e-4,1.488141154206136e-4,1.1393330405965916e-4,1.049085894503684e-4,1.0899236414029149e-4,6.230894976432556e-5,4.632859290958292e-5,6.657275122467756e-5
Mississippi,0.005271392754748281,0.002799456518171853,0.0026878943001612423,0.003619442359200342,0.003551969512013577,0.0033944605753112554,0.004721349776033336,0.006375804507807893,0.005823028921084071,0.0071837381385656636,0.009923084852299669,0.014162906220738616,0.009801486400805299,0.010169985874428243,0.011864723856243114,0.011528307071093218,0.01075988317003839,0.009296234047265444,0.005024803001663605,0.0037589219639225513,0.0038658633625099467,0.003852080123266564,0.002911086358161239
Missouri,6.128367231375279e-6,3.5401697157361724e-6,3.3757553252540256e-6,5.893383337798018e-6,4.720516571373424e-6,6.580356017507796e-6,6.3233108855796895e-6,8.752364289985176e-6,1.0527640979368894e-5,1.353718071290178e-5,1.391553190278937e-5,1.9681490502893575e-5,1.1448074887779257e-5,1.7319942836490885e-5,1.3355358226957905e-5,1.804554917577875e-5,1.9246465244091514e-5,1.4608314565706982e-5,1.0440195696416622e-5,7.975687446101799e-6,8.745729573619771e-6,7.827325443598014e-6,5.718191281925188e-6
Montana,0.0030637000787956704,0.0020901557092578727,0.0025129491356031554,0.0041551056603601096,0.004621929655631226,0.005475710150738657,0.006583731610855963,0.009328669590383693,0.014568043581057009,0.015793234658280593,0.015565834648885554,0.020505092021738135,0.013479680997463233,0.014289403460445898,0.01578725262287444,0.018348688856401257,0.020870767420727476,0.018792665326757746,0.009387586070753432,0.007986212627140813,0.00889356826556839,0.008981647735532514,0.007034271558024534
Nebraska,3.934226161801073e-4,1.7174139990467388e-4,1.527422827892976e-4,1.9813365176241652e-4,1.4595552215168636e-4,1.4165389882003928e-4,1.611394820344537e-4,2.100208317960187e-4,2.91023208095005e-4,3.6668705226749625e-4,4.389585231908467e-4,4.6947260241976925e-4,2.2677459756142483e-4,1.8894404307487318e-4,1.6613107742008445e-4,1.615950797218618e-4,1.538308066234884e-4,1.5543222217160254e-4,7.810180011775348e-5,6.771288720133326e-5,8.200330801344526e-5,8.193963727528646e-5,5.6336998791038466e-5
Nevada,2.489250586218513e-5,1.0750343243102119e-5,1.1173824199430416e-5,1.691979107962584e-5,1.367662490737195e-5,1.9997953150677517e-5,1.655015358542527e-5,2.2280129031008124e-5,2.066005430150939e-5,2.542743922643373e-5,2.5072006041593698e-5,3.675077234044997e-5,2.9477486978729537e-5,3.04806151308982e-5,3.5244940588778485e-5,3.479931236558766e-5,2.7254887709862636e-5,2.4263153754134842e-5,1.5160296011670673e-5,1.3830311300549789e-5,1.617066268619585e-5,1.5849451344825948e-5,1.8707704768208788e-5
New England,3.4778495760501365e-6,2.72170260383344e-6,9.21243789665303e-7,1.0179059841674903e-6,0,1.6059278006979362e-7,2.7916728122241774e-6,3.3453465211741526e-6,2.91982291413065e-6,1.8429860164752417e-6,5.7684619625110165e-6,6.622473511025744e-6,2.21881565537158e-6,1.9051912532193268e-6,3.270893915448093e-6,4.2849206088781975e-6,4.539874827899988e-6,3.7588712045334993e-6,3.2643984198271403e-6,5.860924629403306e-6,7.713048376046588e-7,4.603047456774853e-7,2.5600892676643953e-6
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.069856031151933e-6,0,0,0,0,0,0,0,0
New Jersey,9.746047246887844e-6,4.6895326192946756e-6,5.356108299319566e-6,9.418141667686964e-6,4.8167236645633644e-06,1.2171987594931792e-5,1.0474215100975175e-5,2.8444111900100426e-5,6.517697499430274e-5,2.8846588814385533e-05,3.579942969402648e-5,3.0228089068878127e-5,7.109413879607153e-5,3.734051137018571e-5,2.681636516066229e-5,2.552224408584832e-5,2.3026041142106618e-5,2.450064733289269e-5,2.7342109085072664e-5,1.6872255652031882e-4,4.689834791616145e-5,3.194738721716579e-5,9.88369919962367e-5
New Mexico,0.028144509067071173,0.02227455501226838,0.024425989252564728,0.04005625623809092,0.047765089254826615,0.04381031789552711,0.05575321103699696,0.0577129248705626,0.07488290033743103,0.0725418242915898,0.07600513862658076,0.08918222566490806,0.05915972908569453,0.06596030090472335,0.07225474025645855,0.06405558360970462,0.06738293022852308,0.06514133970887026,0.03718555557894107,0.03158537318952784,0.03812975904306199,0.04563726236054168,0.0458863505979612
New York,1.7528866634957037e-5,1.3279635317069402e-5,8.42523546646882e-6,1.2839087126639643e-5,2.3567009147301206e-5,2.122979841463953e-5,3.978192927233262e-5,6.162423917070317e-5,8.779203523491998e-5,9.580017608630423e-5,1.2712377326228817e-4,1.8045998937838475e-4,1.3636975270612498e-4,1.5970188545484431e-4,2.2434971046142937e-4,1.8761761392104625e-4,1.835918534135855e-4,1.7604018328585468e-4,7.710262971727601e-5,5.2147991229081746e-5,5.0439446664930075e-5,4.944075602113775e-5,3.976933112935113e-5
North Carolina,2.4365753036421673e-5,2.8757699772854675e-5,3.0145940265065715e-5,3.165370842977823e-5,2.291113776362996e-4,1.074379277372498e-5,0,0,0,7.999483904264242e-6,1.3698940623560832e-5,6.685874228199393e-6,1.2404057050879497e-5,1.6903651093404337e-5,1.482433052512643e-5,2.9656570177218227e-5,2.3579349595008445e-5,2.1937481076335605e-5,2.0631573735181373e-5,1.539836716474998e-5,7.640939864711702e-6,6.31599225027751e-6,3.189763745951098e-6
North Dakota,0.007969138622404955,0.004001998025760261,0.003966672916471361,0.005011022038552274,0.003975837917105632,0.003807929803364249,0.0038302713826599763,0.005722516015305903,0.008692307692307692,0.010754432901772406,0.013464991023339317,0.022447481364355093,0.02010178117048346,0.029282827206933478,0.039821870408798754,0.05436925795734731,0.0683090416612924,0.07764036825233661,0.04883484621470117,0.05152416271071684,0.08473781415224162,0.10234276373014557,0.08515113254073842
Ohio,9.737055815983622e-4,8.198804274217789e-4,8.36996354510324e-4,0.0011619334491018087,0.0013152972266903813,0.0018005787835327692,0.0018667696131154782,0.0020778741142647,0.0025097485218331913,0.002617154104886273,0.0026755785652365642,0.003230101300130363,0.002474490499420359,0.002167366312278566,0.0023881562294167306,0.002157803687139721,0.004060844534222579,0.005643668861557358,0.004624729652654294,0.004321594672445265,0.004406261794000054,0.004613223995721572,0.004464084138573135
Oklahoma,0.035834290601231715,0.022851857644811565,0.024374316553852294,0.03828576886048352,0.04303644358723918,0.04117242599457977,0.05975206572481282,0.07564514401029912,0.10135383621571838,0.10631600775630928,0.11718870602893543,0.14807073984985417,0.10253421808187789,0.1180951911821704,0.12859805168321145,0.1140292690067843,0.132001092533062,0.15033290681660527,0.0939354101049377,0.08706696593108532,0.10540476046875696,0.11348439693262986,0.09427308925835433
Oregon,1.2882154054707535e-5,7.608410336786284e-6,7.4334589278164684e-6,7.682156739897537e-6,2.564900533157324e-6,1.6574745888427098e-6,2.3683306821187087e-6,2.211626075956086e-6,4.877783646603181e-6,1.237034736586474e-5,1.754548667420287e-5,2.607239394295845e-5,2.1302283792783914e-5,3.168081336832845e-5,2.5200593796317078e-5,6.299717658108596e-6,7.241222385180671e-6,1.2757766689152229e-5,4.983564205251081e-6,3.785980419855764e-6,0,3.374587667569369e-6,1.6217502658656842e-6
Pennsylvania,5.479175770614138e-4,5.051525290402503e-4,5.259431162845905e-4,7.151238427812696e-4,5.436556416798913e-4,5.657959456355136e-4,7.478209557595032e-4,8.785032651961468e-4,0.0011175784796477214,0.0010866330581520913,0.0012678679423814637,0.0024618017681573186,0.002828677676069596,0.0046279637687006965,0.006884065915335256,0.008432600085904884,0.008264366390848755,0.01221391685224333,0.007213356316531339,0.006551678528697967,0.0076696823256237855,0.00739129658195569,0.00637400020157907
Plains,0.001411879268650813,7.848288853746959e-4,7.22770691445208e-4,0.0010294052511886271,0.0010102737943128964,9.464546059265588e-4,0.0011034984752655928,0.0012492026636113955,0.0015665644517102513,0.0016731749937899402,0.0017926479169199812,0.00259088485104881,0.0019244959758005803,0.0024761771816221015,0.0031861405344132962,0.004174121345959502,0.0049485484860943025,0.005545245828719372,0.003044184348950676,0.002820462356112421,0.004422146071377566,0.005271863907145456,0.004206601108238291
Rhode Island,0,0,0,0,0,2.6448589232250355e-6,2.5228316262172665e-6,2.3605003316502966e-6,2.25356683290478e-6,2.1184465854877934e-6,6.3370285250777336e-6,6.345513193379514e-6,2.096339372188285e-6,NA,NA,1.9386231898105967e-5,2.6398109895331493e-5,2.1994255833518148e-5,8.866694567198904e-6,1.7435727549321316e-6,0,0,0
Rocky Mountain,0.009326637325772292,0.005780139606646515,0.005625354392335275,0.008948564989625051,0.009983223061265933,0.009543528594049198,0.015973415804298827,0.02127499793483077,0.031512369758748,0.03377433769340063,0.031425521306500996,0.04456470053617482,0.02826626459249214,0.029526063443224827,0.030017600890482218,0.02445297376102374,0.02761562063737117,0.03151943554502268,0.018335861501182413,0.016341030585176212,0.020126030476234,0.021348219766621702,0.016678257092506314
South Carolina,9.237875288683602e-6,8.699325222340253e-6,1.1792270982758793e-5,8.6714776024405e-6,NA,8.008719894220828e-7,1.5201438056040101e-6,5.110160459038413e-6,3.4387044062182777e-6,5.857555954303253e-6,4.301173052782152e-6,3.050897513030383e-6,1.853986224882349e-6,6.02918123718799e-7,NA,2.8150284233419904e-6,7.026681390266749e-6,3.601699384675386e-6,7.288038337025129e-6,9.297127838296914e-6,5.828422887050994e-6,1.7118502404935608e-6,8.174532815231444e-7
South Dakota,3.152684510860998e-5,2.9661708217776263e-5,5.2185381451417784e-5,1.275100798916604e-4,2.0075089376860684e-4,3.685116309109076e-4,2.939436583492859e-4,2.938031450601784e-4,2.9034693232335613e-4,2.1628636314480372e-4,2.1383970575656488e-4,3.4696609567521784e-4,2.8545627715608694e-4,3.698566805362922e-4,4.559332189123964e-4,7.380157853376308e-4,7.78201538766782e-4,6.925237360373108e-4,2.184305453274586e-4,1.6479693355631782e-4,1.8091667097420644e-4,1.8891579507788483e-4,1.2606623297410635e-4
Southeast,0.0043836955743798475,0.0040357926890752715,0.0041676732696614835,0.0060296088324472644,0.0064498687701399155,0.004111671329297655,0.004611814253319417,0.005015932886947751,0.005566811649793499,0.006009397803561861,0.006225888214164885,0.00741468023150802,0.005251617829467471,0.0055127395875509385,0.005830766903587684,0.005090064029741626,0.004796490528084512,0.00466022172658293,0.002453346347455989,0.0020587357892781107,0.0024439768962707825,0.002531019830729427,0.0021114275527335724
Southwest,0.03831968165067849,0.025729196367100842,0.028058403037948036,0.040027463207625694,0.04492974630427751,0.04188990458106149,0.05341058544180296,0.05778952381237259,0.07259260446810045,0.0735615584053589,0.08038256931696974,0.10220565958396119,0.067275551924089,0.07009251206530095,0.07669245885637715,0.07643126434698393,0.0868403692589932,0.09204278129240627,0.05262947366619323,0.04551072088286213,0.05498424239185587,0.06084746711701878,0.05330866711085503
Tennessee,2.0080048140296058e-5,1.1947816715712454e-5,1.531637678059971e-5,2.6337853201585536e-5,3.7008967433717746e-5,4.597365301027818e-5,5.606299335434152e-5,7.340607373708498e-5,7.986754938296921e-5,4.967487588465412e-5,9.007110792287983e-5,1.4041739759756454e-4,8.361972759783905e-5,8.185401278629509e-5,8.116696600846063e-5,7.892673608261464e-5,7.402082114440245e-5,6.924639992213047e-5,2.9204350525985723e-5,2.2293965855750906e-5,2.429698114297001e-5,2.8225019819774946e-5,3.342915473321014e-5
Texas,0.047820455479267394,0.03207337416564958,0.03522245345913772,0.049182118842200306,0.054949245224344453,0.051413263011611796,0.06483986232308141,0.06863592354389604,0.08543119313251593,0.08595250751089378,0.09381516860436855,0.11876123578100337,0.07759901033483278,0.07855400424765045,0.08545691514360626,0.08714215742255327,0.0984767247212175,0.10310134334874417,0.058610609327597665,0.0505418283260025,0.06100002092884854,0.06753034635894531,0.059812426681390925
Utah,0.0022051175369253175,0.0018283648575111444,0.002017591825420748,0.0034440130932244985,0.004423906616149448,0.004043700995687159,0.005996549513967882,0.007836722934786523,0.010967425968825998,0.01098488510596758,0.012626574946826764,0.014545280763004263,0.009970575178926425,0.010450847646157658,0.01078485246684984,0.009784383746742592,0.010038360905541808,0.009850854835839017,0.004475928808863895,0.003261159507892488,0.0034761725685833024,0.0032533305300596355,0.0022738409869577075
Vermont,4.5293664710411715e-5,3.109317380462293e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,3.895831599657278e-4,2.3337828026138367e-4,2.3899014055582622e-4,3.031985961979492e-4,3.0038240991415993e-4,2.5325395785488476e-4,3.5262141454770287e-4,6.831968796360058e-4,4.8649746124846636e-4,5.03939418827081e-4,5.228493861880962e-4,7.191668341015567e-4,4.3993757169060127e-4,4.761208864607426e-4,3.97306587637354e-4,2.894790184889868e-4,3.297348027545639e-4,3.75122156541808e-4,1.928536658215969e-4,1.562433533573471e-4,1.723891767053781e-4,1.466835139577826e-4,1.1419689276208186e-4
Washington,3.0955615322823216e-5,1.2396235168023816e-5,6.962639780433155e-6,7.161567490190758e-6,1.2582910897052494e-6,2.845777171582069e-6,3.5242953171513357e-6,0,0,0,0,0,0,8.207983741625804e-7,5.269052300349681e-7,4.99337628635615e-7,1.6702760536817177e-6,1.1346925437083568e-6,7.928180116252834e-6,7.593246607511856e-6,7.116166025153916e-6,6.023235161095854e-6,5.854078235239611e-6
West Virginia,0.003950744632841209,0.002893943710545651,0.0026969168846175053,0.005908847033575241,0.006399337779971027,0.004368067256388655,0.006422207530203083,0.007669667520415589,0.011267000046735524,0.011354148395018417,0.011973310163901239,0.01591360048999279,0.010407118160649176,0.01160477403342793,0.014411973290618349,0.016420134751188104,0.028541650636878073,0.04647465456817926,0.031067675287618217,0.0280763742802195,0.03491199807485344,0.03462466854239621,0.03435570263723517
Wisconsin,5.865802177776822e-6,6.149709764447667e-6,5.806388304540421e-6,5.542398517297549e-6,1.0097622753876823e-5,1.6439020480964645e-5,1.86879853958312e-5,1.3918717473697103e-5,1.4518449429600918e-5,2.7781367373646343e-5,2.5626475810437296e-5,2.4714917478511188e-5,1.6989603980421506e-5,1.013910461567139e-5,8.634787531667143e-6,1.5517465990586312e-5,3.2011718399597e-5,3.28039608246307e-5,6.503897948638067e-6,6.686337234015117e-6,8.166747391823578e-6,0,0
Wyoming,0.08243884131154253,0.04572714653441328,0.046014910999572695,0.07169800320652966,0.07642597136030532,0.07393976708268982,0.10363505964064625,0.13482206117100737,0.1835597959117068,0.18976612920468047,0.17526007555993373,0.22457863626915897,0.15372393247269117,0.14892239263071017,0.1323148367101536,0.09242988104613516,0.09943547689222139,0.10746304942124403,0.06400204023743784,0.05488725995707795,0.06366968047157502,0.065689185623189,0.05270348073776287
