state_name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,0.18702742722916008,0.18661307298660762,0.18552629190327463,0.1810078622163891,0.1723924159280156,0.16666640523901022,0.1620907831827337,0.17878728797036458,0.17629879859084352,0.17732670947744025,0.1680362271585753,0.1663445566656716,0.14766142341729904,0.15507206802625909,0.17073064639080976,0.1694027070656898,0.17319953241208727,0.16895306091124476,0.16568118972745297,0.16619841788816428,0.16805657646549588,0.16989701709775945,0.16233857243833374,0.15748898726952595,0.16213523275696348
Alaska,0.03370682040076247,0.04618305644412342,0.03573752338922499,0.03095879372990234,0.033273554876272635,0.030890418324551028,0.03439364003258641,0.034603879622915154,0.031335642744928956,0.031015143888003086,0.03123808832338047,0.02684384779355073,0.029080543979118374,0.020770050026625866,0.01704680269191494,0.017020225243464714,0.02314503464768017,0.028280124422633307,0.03561017577863273,0.030957445340514162,0.034317649695889754,0.025957884693767516,0.02729567658042316,0.026872741870734643,NA
Arizona,0.1621827775719869,0.15502789202708117,0.15365334709847084,0.13919933717197006,0.12929993438411816,0.12372488052722572,0.13246320782049104,0.10426496227627334,0.09031620874190875,0.09187622226649374,0.09403233457795189,0.08951035652617086,0.08409560258464771,0.08843493806564126,0.08938365916654305,0.09027851458885942,0.07978129993869162,0.08367325229971086,0.08623840279658898,0.08460770904946764,0.08671611340972793,0.08981688017547494,0.09001503291186043,0.08580698332169358,0.08510651233803787
Arkansas,0.22376320674795266,0.21597616540618336,0.2195945895379973,0.21188872791339358,0.19633174589013647,0.1982799447876849,0.19146045941869314,0.1910419767228954,0.18539362311952004,0.18589081002262317,0.1650603364856843,0.15416902357712814,0.14140979057124484,0.14769353559340404,0.1482460212483726,0.14057336893654007,0.1477285071709738,0.15206725710654612,0.14979522323384284,0.14731637801672479,0.14587879709228102,0.15018793227368596,0.15034786789045237,0.1453774243656057,0.14751005566417197
California,0.14572161584588797,0.14226954048050042,0.14416413821502655,0.15169515969117792,0.12921761936463833,0.1144382491735931,0.1181083459335944,0.1157806426410551,0.12282506998279248,0.12291367998190054,0.12308197052823158,0.12859844933033981,0.12305115651488582,0.11647768808511491,0.11182846553002224,0.11261568568286805,0.11316471940356061,0.11345982602134685,0.11321506823435848,0.11112166168411533,0.1153198864331878,0.1186690896103452,0.11678556682578113,0.11852795221262709,0.123180132319563
Colorado,0.10507623520164909,0.09661810683163707,0.08877141581782977,0.08810295496247984,0.07765520167031074,0.07829164451975855,0.0740654628517819,0.07725873695676877,0.07646578982053476,0.07863898348869766,0.07784090337356332,0.07456087320475742,0.07898890130347888,0.07822874314460461,0.077136665793199,0.0753864110328943,0.07293168869088675,0.07215161984166316,0.0724944507860568,0.06912425355026815,0.06542741276034464,0.06476980792333087,0.06487667572625427,0.06498378006229731,0.06576837447095735
Connecticut,0.15727186373632096,0.15168533533137882,0.15004514487400475,0.14025540065078923,0.1382144021082068,0.14982369235369122,0.1472102749714329,0.15786345773768665,0.15388378799559096,0.17101321209054623,0.16476202211385912,0.1623571588805073,0.12346998830214835,0.12431018321261184,0.12196585415856238,0.12069432850764118,0.12559219335749722,0.11898238826911925,0.115560346189686,0.10516997932645429,0.10667951481427751,0.11459963233722373,0.11774185542907184,0.10949780209960897,0.10853915849571802
Delaware,0.11867155972104793,0.109378537163801,0.10835764442274279,0.09793032659552187,0.09077123661220797,0.07372061799715655,0.0733505151396319,0.09039076054889911,0.08755308847920082,0.0889959836445888,0.09379857558714637,0.08079185283755079,0.0761628841636171,0.07095687157753575,0.06813345456085981,0.06156402254204181,0.06388598131446849,0.059068359600729724,0.0683720393414903,0.05717540191766996,0.06697855557720776,0.06599988963690541,0.06944375939420215,0.06620572265509028,0.06797227886647622
District of Columbia,0.005542477087285443,0.005598801794389522,0.004634541102225124,0.004620831553257416,0.004544419639105235,0.004044651349051409,0.003971221153885158,0.004091584612447451,0.003367598471030169,0.0030116312056737587,0.002810672023577231,0.0025237068640605446,0.002503832905242618,0.0022610175144069213,0.002562644444930484,0.0020319730377952334,0.00209446298719837,0.001798775024159525,0.0019878864922430696,0.0021010639528695257,0.002090092899681538,0.002004509789333318,0.0018150253071727777,0.0017605779953346415,NA
Florida,0.07431202188201137,0.07007879043217759,0.06694226441184747,0.06390435491481146,0.058164723597682426,0.055947420870822835,0.05312345095058606,0.05278794415234912,0.05200921043068667,0.053138488079924974,0.05399747672357347,0.05181154175424761,0.051693111836621466,0.049597759572564404,0.04868637784015677,0.04733290946573416,0.04990368360177133,0.051071959782663316,0.05421455270269809,0.05330399825877626,0.05279451839730388,0.05204968548363998,0.051800578878097206,0.05152248729810209,0.052404575561802905
